Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url
"Zomato, Bangalore Data Analysis",What and where to eat in Bangalorea data scientists guide,1,Shubhankar Rawat,Towards Data Science,2019,7,1,big-data,15,190,0,https://towardsdatascience.com/zomato-bangalore-data-analysis-6ee83652890f?source=tag_archive---------0-----------------------,https://towardsdatascience.com/@shubhankarrawatsam.1999?source=tag_archive---------0-----------------------
Recreating Myself from WhatsApp Chats,A chatbot that embodies my personality.,1,Yang Chun Wei,Towards Data Science,2019,7,1,big-data,5,108,0,https://towardsdatascience.com/recreating-myself-from-whatsapp-chats-6dadfaff0d2b?source=tag_archive---------1-----------------------,https://towardsdatascience.com/@yangcw?source=tag_archive---------1-----------------------
Logistic Regression with Apache Spark,Happy ML,1, .eranga,Rahasak-Labs,2019,7,1,big-data,3,3,0,https://medium.com/rahasak/logistic-regression-with-apache-spark-b7ec4c98cfcd?source=tag_archive---------2-----------------------,https://medium.com/@itseranga?source=tag_archive---------2-----------------------
Selecting the Right Scoring Pattern for Machine Learning,NaN,1,Alex Fly,Towards Data Science,2019,7,1,big-data,5,192,0,https://towardsdatascience.com/selecting-the-right-scoring-pattern-for-machine-learning-88898595a42f?source=tag_archive---------3-----------------------,https://towardsdatascience.com/@alex.fly?source=tag_archive---------3-----------------------
"On-Premises, Cloud or HybridThe Infrastructure to Use For Big Data and Analytics Solutions",NaN,1,Dataeaze Musings from the Big Data trenches,Dataeaze,2019,7,1,big-data,5,56,0,https://medium.com/dataeaze/on-premises-cloud-or-hybrid-the-infrastructure-to-use-for-big-data-and-analytics-solutions-ba7c1677b858?source=tag_archive---------4-----------------------,https://medium.com/@mike_41575?source=tag_archive---------4-----------------------
June 2019 Progress Update,Thought Leadership that Knows No Boundaries,1,Endor Protocol,ENDOR,2019,7,1,big-data,5,299,0,https://medium.com/endor/thought-leadership-that-knows-no-boundaries-6f968d2fe5cc?source=tag_archive---------5-----------------------,https://medium.com/@endorprotocol?source=tag_archive---------5-----------------------
Data Lake as an Efficient Response to Complexity,Do you have a complex data storage setup? Are you overwhelmed with the,1,Anton Lytunenko,GreenM,2019,7,1,big-data,8,386,0,https://medium.com/greenm/data-lake-as-an-efficient-response-to-complexity-a2bf54eaf4d2?source=tag_archive---------6-----------------------,https://medium.com/@antonlit?source=tag_archive---------6-----------------------
Press Coverage of the Early 2020 Primary,Observations of the early press coverage in the 2020,1,Stephen Godfrey,Towards Data Science,2019,7,1,big-data,5,22,0,https://towardsdatascience.com/press-coverage-of-the-early-2020-primary-65695f104633?source=tag_archive---------7-----------------------,https://towardsdatascience.com/@stevegodfrey_25218?source=tag_archive---------7-----------------------
Data Engineering Digest #1 (June 2019),This is the first post of a series that will be posted once a month highlighting what is,1,Maycon Viana Bordin,data.plumbers,2019,7,1,big-data,4,5,0,https://medium.com/data-plumbers/data-engineering-digest-1-june-2019-3db186fe181c?source=tag_archive---------8-----------------------,https://medium.com/@mayconbordin?source=tag_archive---------8-----------------------
What Is Alternative Data and Why Should You Care About It?,NaN,1,Atlan,Humans of Data,2019,7,1,big-data,6,1,0,https://medium.com/humans-of-data/what-is-alternative-data-and-why-should-you-care-about-it-bbddd7a83c2f?source=tag_archive---------9-----------------------,https://medium.com/@atlanhq?source=tag_archive---------9-----------------------
Everything You Need to Know About Informed Consent,NaN,1,Atlan,Humans of Data,2019,7,1,big-data,10,2,0,https://medium.com/humans-of-data/everything-you-need-to-know-about-informed-consent-91e89dbc3805?source=tag_archive---------10-----------------------,https://medium.com/@atlanhq?source=tag_archive---------10-----------------------
Thick Data e como as percepes humanas podem salvar o Big Data,NaN,1,Andressa Nunes Soilo,NaN,2019,7,1,big-data,4,4,0,https://medium.com/@andressasoilo/thick-data-e-como-as-percep%C3%A7%C3%B5es-humanas-podem-salvar-o-big-data-76d0c9ea5427?source=tag_archive---------11-----------------------,https://medium.com/@andressasoilo?source=tag_archive---------11-----------------------
Distribute your files with Hadoop,Now a days it is discussing more and more about big data concept. Big data is the term for a,1,Chirantha Jananath,NaN,2019,7,1,big-data,6,1,0,https://medium.com/@chiranthajtk/distribute-your-files-with-hadoop-252e54ccbbc8?source=tag_archive---------12-----------------------,https://medium.com/@chiranthajtk?source=tag_archive---------12-----------------------
Can You Run Big Data Queries on a Budget?,"This week, I had a cool idea.",1,Jonathan Baldie,NaN,2019,7,1,big-data,13,0,0,https://medium.com/@jonbaldie/can-you-run-big-data-queries-on-a-budget-201f72bff771?source=tag_archive---------13-----------------------,https://medium.com/@jonbaldie?source=tag_archive---------13-----------------------
201913(Q1),"(2841)201913(Q1)(1)31,6712018Q140,1758,504",1,Buffon Digital Technology,Buffondt,2019,7,1,big-data,2,0,0,https://medium.com/buffondt/2019%E5%B9%B41-3%E6%9C%88-q1-%E9%9B%BB%E7%87%88%E6%B3%A1%E5%8F%8A%E7%87%88%E7%AE%A1%E8%A3%BD%E9%80%A0%E6%A5%AD-%E9%8A%B7%E5%94%AE%E6%A6%82%E6%B3%81-680d50818ec6?source=tag_archive---------14-----------------------,https://medium.com/@buffondt.inc?source=tag_archive---------14-----------------------
  : 3    Hadoop,NaN,1,Nick Komissarenko,NaN,2019,7,1,big-data,4,0,0,https://medium.com/@bigdataschool/%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B8-%D1%81%D0%B2%D0%BE%D0%B5%D0%B3%D0%BE-%D1%81%D0%BB%D0%BE%D0%BD%D0%B0-3-%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%BA%D0%BB%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%B0-hadoop-aac4fdeaf79c?source=tag_archive---------15-----------------------,https://medium.com/@bigdataschool?source=tag_archive---------15-----------------------
A Recovering Academics Journey Into Data Science,As a business administration and social welfare,1,"Manisha Gupta, PhD",NaN,2019,7,1,big-data,3,0,0,https://medium.com/@magupt/a-recovering-academics-journey-into-data-science-2b6c169eafc3?source=tag_archive---------16-----------------------,https://medium.com/@magupt?source=tag_archive---------16-----------------------
